Company Name,Job Title,Location,job_category,salary_in_inr
Ultramatics,Data Scientist,Bangalore,Data Scientist,214107.0
MResult Services,Data Scientist,Bangalore,Data Scientist,562370.0
Vumonic Technologies,Data Scientist,Bangalore,Data Scientist,131232.0
Dexler Information Solutions,Data Scientist,Bangalore,Data Scientist,1687111.0
SenSight Technologies,Data Scientist,Bangalore,Data Scientist,179856.0
Fractal Systems,Data Scientist,Bangalore,Data Scientist,2141072.0
Grofers,Data Scientist,Bangalore,Data Scientist,1558095.0
Utopia,Data Scientist,Bangalore,Data Scientist,1051532.0
Simple Lecture,Data Scientist,Bangalore,Data Scientist,502448.0
Yes Bank,Data Scientist,Bangalore,Data Scientist,619584.0
Yes Bank,Data Scientist,Bangalore,Data Scientist,1205880.0
TAG Solutions,Data Scientist,Bangalore,Data Scientist,1462163.0
Tesla,Data Scientist,Bangalore,Data Scientist,1574637.0
UnitedHealth Group,Data Scientist,Bangalore,Data Scientist,325080.0
Bestintown Analytics,Data Scientist,Bangalore,Data Scientist,283392.0
Salim Group,Data Scientist,Bangalore,Data Scientist,269940.0
BRIDGEi2i,Data Scientist,Bangalore,Data Scientist,1306364.0
Defence Research & Development Organisation,Data Scientist,Bangalore,Data Scientist,475188.0
dataZen Engineering,Data Scientist,Bangalore,Data Scientist,184176.0
UnitedHealthCare,Data Scientist,Bangalore,Data Scientist,825425.0
SelotSoft,Data Scientist,Bangalore,Data Scientist,1972136.0
T-Mobile,Data Scientist,Bangalore,Data Scientist,1023226.0
CROPIN TECHNOLOGY SOLUTIONS,Data Scientist,Bangalore,Data Scientist,697908.0
Stayzilla,Data Scientist,Bangalore,Data Scientist,1465641.0
Noodle.ai,Data Scientist,Bangalore,Data Scientist,321156.0
Citicorp Services India,Data Scientist,Bangalore,Data Scientist,1083371.0
Persistent Networks,Data Scientist,Bangalore,Data Scientist,148608.0
Atkins,Data Scientist,Bangalore,Data Scientist,1600000.0
Techstar Consulting,Data Scientist,Bangalore,Data Scientist,1031782.0
Nhai,Data Scientist,Bangalore,Data Scientist,982296.0
The Data Team,Data Scientist,Bangalore,Data Scientist,646214.0
Decision Minds,Data Scientist,Bangalore,Data Scientist,1822656.0
SeedOlabs,Data Scientist,Bangalore,Data Scientist,498832.0
